1,38,286,5,119
6,66,257,182,604
11,71,286,240,1044
16,89,323,375,1434
21,81,316,428,2270
26,109,321,505,3348
31,121,377,603,5406
36,111,343,509,8019
41,122,347,550,11107
46,139,371,585,17383
51,161,399,1047,24729
56,161,399,778,31495
61,173,402,883,40849
66,187,421,728,54605
71,222,467,864,71188
76,192,430,982,86953
81,203,424,921,109768
86,242,438,1099,139519
91,245,444,1061,168821
96,237,489,1236,215793
1,42,292,4,120
6,62,266,195,616
11,109,295,262,1014
16,76,299,318,1932
21,100,316,543,2369
26,97,351,450,3653
31,105,333,559,5791
36,119,346,568,8046
41,124,357,587,11653
46,147,356,657,17702
51,148,380,716,23774
56,160,380,950,31079
61,204,402,812,42677
66,202,397,866,53598
71,190,421,832,72547
76,224,426,903,93144
81,207,446,964,113983
86,241,450,1057,145977
91,255,463,1051,170056
96,248,453,1024,215919
