5,8,3,19,22
5,13,3,23,22
10,11,4,31,37
15,14,6,44,65
20,18,5,48,73
25,22,8,80,112
30,28,10,71,144
35,35,14,57,174
40,37,12,91,185
45,48,12,72,268
50,51,15,54,317
55,50,17,52,339
60,53,18,47,467
65,56,17,63,512
70,58,11,52,584
75,62,11,58,678
80,67,8,64,788
85,74,6,71,905
90,71,6,77,984
95,80,8,82,1173
100,77,7,90,1198
105,71,9,93,1796
110,87,10,122,1888
115,73,10,99,1926
120,75,13,105,1987
125,77,10,110,2148
130,78,10,118,2567
135,92,12,166,3738
140,95,12,164,3689
145,79,12,145,4226
150,79,11,146,4588
155,84,13,161,4829
160,82,16,168,5849
165,83,15,178,6892
170,82,13,186,7085
175,85,16,197,7589
180,85,16,199,7811
185,87,21,214,8931
190,89,20,224,11323
195,88,20,220,14618
200,104,20,241,12804
205,86,21,256,16742
210,89,24,256,16861
215,91,25,269,22780
220,91,24,281,17214
225,108,26,294,18774
230,100,27,297,22150
235,97,27,317,24585
240,99,29,327,26036
245,101,31,359,27247
250,104,31,380,32009
255,102,35,383,40289
260,98,37,393,37786
265,102,39,402,38622
270,107,39,424,44802
275,110,40,445,43970
280,106,40,456,56334
285,113,45,481,45016
290,118,45,485,50970
295,114,49,496,60793
300,118,58,520,64143
305,116,53,542,69968
310,123,56,577,68375
315,125,54,587,86759
320,131,57,599,70479
325,166,74,818,101145
330,141,70,648,103770
335,135,61,662,80903
340,135,66,694,90899
345,142,67,729,99263
350,142,68,737,103532
355,152,74,774,136258
360,156,75,854,118562
365,137,73,913,142443
370,143,81,918,141073
375,145,78,878,170527
380,157,81,906,143317
385,148,82,1005,180356
390,154,86,1010,154225
395,149,87,967,202971
400,153,90,1067,209595
405,156,89,1009,181355
410,154,96,1109,221739
