5,3,5,29,32,155,110
6,3,5,20,29,113,144
7,3,5,24,24,124,268
8,3,5,24,26,149,131
9,3,5,46,28,125,171
10,3,5,22,25,137,174
11,3,5,24,25,144,205
12,3,5,36,25,164,208
13,3,5,31,28,144,208
14,3,5,41,28,151,241
15,3,5,30,27,164,268
16,3,5,29,26,177,266
17,3,5,42,31,169,296
18,3,5,39,31,180,595
19,3,5,48,32,195,310
20,3,5,34,36,160,384
21,3,5,42,32,188,703
22,3,5,79,71,377,488
23,3,5,34,38,294,505
24,3,5,65,43,248,470
25,3,5,37,29,196,431
26,3,5,38,35,206,466
27,3,5,41,35,208,686
28,3,5,67,41,226,535
29,3,5,41,33,214,496
30,3,5,38,34,220,579
31,3,5,51,33,220,584
32,3,5,32,34,226,543
33,3,5,37,35,261,618
34,3,5,42,32,239,656
35,3,5,144,62,300,777
36,3,5,121,38,238,702
37,3,5,38,40,276,849
38,3,5,46,38,246,651
39,3,5,46,51,274,691
40,3,5,44,47,250,658
41,3,5,47,46,257,699
42,3,5,53,40,253,750
43,3,5,51,41,276,732
44,3,5,46,42,262,821
45,3,5,40,53,286,778
46,3,5,48,48,267,914
47,3,5,48,47,291,838
48,3,5,52,49,278,861
49,3,5,55,42,299,966
