SA,23,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.077,0.037
GA,23,1,1739.0,32.0,98.193,2764.0,66.0,97.668,4.480,0.015
RHC,24,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.210,0.136
SA,24,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.054,0.038
GA,24,1,1739.0,32.0,98.193,2764.0,66.0,97.668,4.637,0.026
RHC,25,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.220,0.114
SA,25,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.071,0.027
GA,25,1,1739.0,32.0,98.193,2764.0,66.0,97.668,5.010,0.048
RHC,26,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.302,0.148
SA,26,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.105,0.057
GA,26,1,1739.0,32.0,98.193,2764.0,66.0,97.668,5.223,0.029
RHC,27,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.273,0.133
SA,27,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.107,0.063
GA,27,1,1739.0,32.0,98.193,2764.0,66.0,97.668,5.366,0.019
RHC,28,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.261,0.173
SA,28,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.090,0.043
GA,28,1,1739.0,32.0,98.193,2764.0,66.0,97.668,5.404,0.024
RHC,29,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.276,0.149
SA,29,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.091,0.052
GA,29,1,1739.0,32.0,98.193,2764.0,66.0,97.668,5.485,0.045
RHC,30,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.297,0.150
SA,30,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.083,0.024
GA,30,1,1739.0,32.0,98.193,2764.0,66.0,97.668,5.752,0.016
RHC,31,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.271,0.138
SA,31,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.099,0.033
GA,31,1,1739.0,32.0,98.193,2764.0,66.0,97.668,6.175,0.026
RHC,32,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.284,0.143
SA,32,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.090,0.026
GA,32,1,1739.0,32.0,98.193,2764.0,66.0,97.668,6.233,0.023
RHC,33,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.295,0.138
SA,33,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.113,0.025
GA,33,1,1739.0,32.0,98.193,2764.0,66.0,97.668,6.162,0.016
RHC,34,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.323,0.138
SA,34,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.110,0.021
GA,34,1,1739.0,32.0,98.193,2764.0,66.0,97.668,6.556,0.015
RHC,35,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.332,0.145
SA,35,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.112,0.046
GA,35,1,1739.0,32.0,98.193,2764.0,66.0,97.668,6.800,0.037
RHC,36,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.412,0.173
SA,36,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.112,0.039
GA,36,1,1739.0,32.0,98.193,2764.0,66.0,97.668,7.120,0.033
RHC,37,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.325,0.139
SA,37,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.095,0.040
GA,37,1,1739.0,32.0,98.193,2764.0,66.0,97.668,6.975,0.018
RHC,38,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.339,0.184
SA,38,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.112,0.025
GA,38,1,1739.0,32.0,98.193,2764.0,66.0,97.668,7.299,0.020
RHC,39,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.356,0.144
SA,39,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.098,0.032
GA,39,1,1739.0,32.0,98.193,2764.0,66.0,97.668,7.506,0.013
RHC,40,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.348,0.110
SA,40,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.101,0.031
GA,40,1,1739.0,32.0,98.193,2764.0,66.0,97.668,8.017,0.041
RHC,41,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.364,0.142
SA,41,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.111,0.027
GA,41,1,1739.0,32.0,98.193,2764.0,66.0,97.668,7.702,0.038
RHC,42,1,32.0,1739.0,1.807,66.0,2764.0,2.332,1.210,0.702
SA,42,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.206,0.121
GA,42,1,1739.0,32.0,98.193,2764.0,66.0,97.668,13.218,0.028
RHC,43,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.466,0.110
SA,43,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.110,0.029
GA,43,1,1739.0,32.0,98.193,2764.0,66.0,97.668,8.875,0.064
RHC,44,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.395,0.126
SA,44,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.098,0.021
GA,44,1,1739.0,32.0,98.193,2764.0,66.0,97.668,8.348,0.033
RHC,45,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.398,0.152
SA,45,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.101,0.037
GA,45,1,1739.0,32.0,98.193,2764.0,66.0,97.668,8.630,0.044
RHC,46,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.416,0.179
SA,46,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.189,0.033
GA,46,1,1739.0,32.0,98.193,2764.0,66.0,97.668,8.766,0.034
RHC,47,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.410,0.151
SA,47,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.135,0.286
GA,47,1,1739.0,32.0,98.193,2764.0,66.0,97.668,8.951,0.034
RHC,48,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.450,0.144
SA,48,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.132,0.036
GA,48,1,1739.0,32.0,98.193,2764.0,66.0,97.668,8.841,0.036
RHC,49,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.440,0.149
SA,49,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.134,0.033
GA,49,1,1739.0,32.0,98.193,2764.0,66.0,97.668,9.330,0.041
RHC,50,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.519,0.140
SA,50,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.127,0.039
GA,50,1,1739.0,32.0,98.193,2764.0,66.0,97.668,9.577,0.034
RHC,51,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.479,0.134
SA,51,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.185,0.035
GA,51,1,1739.0,32.0,98.193,2764.0,66.0,97.668,9.883,0.041
RHC,52,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.495,0.140
SA,52,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.151,0.031
GA,52,1,1739.0,32.0,98.193,2764.0,66.0,97.668,10.048,0.032
RHC,53,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.485,0.154
SA,53,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.136,0.025
GA,53,1,1739.0,32.0,98.193,2764.0,66.0,97.668,10.960,0.058
RHC,54,1,1739.0,32.0,98.193,2764.0,66.0,97.668,0.581,0.137
SA,54,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.165,0.028
GA,54,1,1739.0,32.0,98.193,2764.0,66.0,97.668,10.484,0.033
RHC,55,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.480,0.148
SA,55,1,32.0,1739.0,1.807,66.0,2764.0,2.332,0.124,0.026
